student_id,location,age,sql_marks,excel_marks,python_marks,power_bi_marks,english_marks
87,Berlin,25,85,81,86,95,82
88,Berlin,20,81,100,74,86,88
89,Berlin,20,99,85,86,86,80
90,New York,21,98,88,74,97,93
91,London,21,100,95,81,86,70
92,Paris,18,98,100,71,86,77
93,Tokyo,25,98,80,89,80,100
94,New York,21,70,75,98,95,95
95,Tokyo,25,84,92,90,87,77
96,New York,18,94,88,98,74,79
97,Los Angeles,18,82,99,95,70,87
98,Tokyo,21,75,71,99,76,97
99,Melbourne,25,94,79,74,74,79
100,Toronto,24,84,87,78,72,77
101,Sydney,21,86,90,89,93,97
102,Paris,22,97,82,73,77,78
103,Tokyo,24,73,99,75,79,96
104,London,22,90,90,99,76,80
105,Toronto,21,80,91,72,100,79
106,Los Angeles,20,79,85,90,71,73
107,New York,24,94,92,90,98,85
108,Paris,21,84,71,85,86,85
109,Paris,20,87,86,72,88,83
110,New York,25,79,96,96,92,78
111,Melbourne,19,75,85,77,74,91
112,Sydney,24,90,72,84,83,86
113,Tokyo,25,72,81,91,97,90
114,Toronto,18,88,80,92,89,85
115,Toronto,23,84,74,81,73,78
116,Sydney,19,83,92,86,72,70
117,Paris,22,70,87,76,95,74
118,Berlin,22,93,87,79,89,71
119,Berlin,25,86,74,83,100,91
120,Toronto,20,98,100,87,90,82
121,Berlin,22,85,94,99,71,71
122,Sydney,24,95,92,72,95,86
123,Sydney,23,92,89,83,97,98
124,New York,18,86,78,90,95,88
125,New York,20,80,98,77,82,79
126,Sydney,24,87,97,90,88,77
127,Sydney,23,71,72,100,91,95
128,New York,21,72,78,88,85,94
129,Berlin,23,73,76,89,80,80
130,Los Angeles,22,82,83,99,75,97
131,London,20,95,83,90,73,72
132,New York,25,74,76,83,77,80
133,Melbourne,21,100,90,80,73,74
134,Toronto,23,88,93,72,82,95
135,Berlin,22,77,72,84,93,87
136,London,23,86,99,84,72,93
137,Tokyo,19,79,98,98,95,82
138,London,18,92,91,77,75,88
139,Toronto,23,90,72,95,77,80
140,London,19,76,84,100,88,70
141,Tokyo,22,77,72,97,98,74
142,Sydney,19,81,97,83,88,100
143,New York,25,72,98,76,98,95
144,Toronto,18,81,99,76,81,79
145,Berlin,18,88,94,75,76,96
146,New York,23,88,81,93,96,81
147,New York,22,90,87,84,72,81
148,Melbourne,20,94,87,76,72,97
149,New York,21,80,84,90,72,75
150,Toronto,23,97,86,86,77,86
151,Tokyo,24,85,95,76,71,70
152,Toronto,18,72,84,82,71,79
153,London,25,87,90,74,99,100
154,Melbourne,20,73,79,80,87,94
155,Toronto,18,80,89,90,77,97
156,Los Angeles,23,91,79,78,94,97
157,Melbourne,23,97,99,70,91,90
158,Sydney,23,82,100,100,98,75
159,Berlin,25,97,82,84,88,99
160,Tokyo,18,80,86,77,96,95
161,Paris,25,91,93,96,93,75
162,Sydney,18,70,74,95,84,89
163,Paris,21,87,95,97,85,96
164,Tokyo,24,74,95,93,84,81
165,Sydney,19,83,71,95,72,84
166,Berlin,23,71,89,79,93,93
167,Tokyo,19,72,73,99,92,98
168,Sydney,22,91,79,97,92,83
169,London,22,95,83,96,97,74
170,Paris,18,78,84,82,82,84
171,Tokyo,20,97,90,85,77,74
172,Toronto,25,87,74,77,98,87
173,Sydney,19,81,95,79,82,94
174,Melbourne,25,93,100,100,95,96
175,Berlin,25,71,86,71,95,84
176,Paris,18,71,93,90,96,81
177,Berlin,18,70,95,99,100,83
178,Los Angeles,22,77,95,97,77,80
179,Los Angeles,25,71,99,73,92,85
180,Toronto,22,82,92,84,95,88
181,Los Angeles,18,88,90,90,73,77
182,New York,19,92,71,100,89,92
183,Melbourne,21,88,88,73,92,82
184,Los Angeles,25,99,88,96,90,90
185,Toronto,18,92,86,99,72,93
186,Sydney,18,77,84,89,72,70
187,Tokyo,23,72,71,75,70,84
188,Toronto,21,85,72,83,94,100
189,Toronto,19,100,94,88,74,88
190,Toronto,20,93,90,98,73,74
191,Tokyo,24,79,91,86,90,79
192,New York,21,89,92,80,89,91
193,Los Angeles,19,91,76,88,93,95
194,Los Angeles,21,70,87,89,76,96
195,Berlin,25,80,97,99,87,72
196,Tokyo,21,82,90,90,85,92
197,Melbourne,21,98,79,73,77,81
198,Melbourne,24,94,72,70,98,86
199,Tokyo,18,89,97,74,74,76
200,Sydney,25,87,94,71,84,83
201,Melbourne,25,100,91,75,99,98
202,Melbourne,21,71,97,83,90,79
203,Paris,24,74,80,85,72,95
204,Toronto,23,94,85,93,71,82
205,Toronto,19,73,85,95,96,87
206,Berlin,23,78,99,82,72,86
207,Los Angeles,18,95,83,94,89,100
208,New York,21,92,70,71,74,74
209,Berlin,23,95,78,74,96,88
210,New York,22,88,84,96,73,84
211,Los Angeles,19,79,80,75,88,88
212,Sydney,23,98,95,88,95,72
213,Melbourne,24,74,77,81,82,75
214,Melbourne,19,79,97,76,70,98
215,Los Angeles,25,76,99,85,75,88
216,Melbourne,22,86,93,92,79,75
217,Sydney,23,74,75,76,75,84
218,Paris,19,74,74,83,81,94
219,Melbourne,22,75,85,74,81,99
220,Los Angeles,25,97,75,75,87,87
221,London,21,78,94,80,76,79
222,Melbourne,25,75,98,72,89,84
223,Toronto,19,80,74,78,95,95
224,Tokyo,18,95,81,72,83,90
225,Berlin,20,73,90,80,76,72
226,New York,21,74,96,98,88,79
227,Melbourne,21,75,84,72,89,91
228,Paris,20,87,91,96,80,92
229,Paris,18,72,93,92,73,85
230,Melbourne,25,74,95,98,79,91
231,Melbourne,21,74,100,87,98,77
232,Melbourne,24,87,78,83,81,82
233,Paris,19,97,75,94,78,82
234,London,18,79,91,84,75,83
235,Melbourne,22,79,90,87,95,100
236,Melbourne,20,94,85,95,82,78
237,Melbourne,21,97,74,88,89,78
238,Toronto,21,93,90,90,98,97
239,Paris,21,80,72,90,100,91
240,Paris,19,72,89,92,76,77
241,Toronto,19,72,75,95,71,80
242,Los Angeles,20,89,71,90,77,87
243,Toronto,24,72,86,93,72,80
244,Berlin,18,91,74,87,76,85
245,Sydney,19,81,77,96,86,83
246,Berlin,22,82,85,76,83,84
247,Berlin,19,70,78,87,79,76
248,London,22,88,94,94,79,87
249,New York,22,74,82,76,86,94
250,London,25,71,91,77,73,99
251,Tokyo,25,84,72,82,100,96
252,Los Angeles,24,83,70,83,70,72
253,Melbourne,19,85,99,94,85,97
254,New York,21,87,87,90,82,86
255,Los Angeles,19,88,83,99,82,99
256,London,23,88,88,77,98,87
257,Los Angeles,18,90,84,81,70,81
258,Tokyo,21,80,100,98,100,75
259,Paris,23,83,98,95,100,92
260,Los Angeles,18,90,83,71,80,77
261,Melbourne,18,83,91,91,95,99
262,London,24,74,95,90,87,87
263,Melbourne,24,99,83,97,86,97
264,New York,23,83,76,99,77,84
265,London,18,100,82,73,77,91
266,Berlin,20,72,87,99,71,80
267,Tokyo,20,90,94,97,85,73
268,Paris,21,91,81,100,99,72
269,London,22,73,70,92,90,95
270,Paris,20,82,76,77,73,92
271,Berlin,19,85,79,76,70,95
272,Toronto,24,86,73,97,95,78
273,Los Angeles,21,87,80,73,91,78
274,Sydney,22,79,97,77,83,95
275,Los Angeles,22,87,87,97,75,89
276,Melbourne,19,94,90,95,86,77
277,Toronto,23,81,74,90,84,84
278,Toronto,22,99,95,74,76,87
279,Tokyo,19,82,92,75,92,98
280,Sydney,20,95,76,73,76,70
281,Melbourne,21,82,84,71,92,98
282,Toronto,20,81,74,98,72,93
283,Paris,25,71,70,97,78,73
284,New York,21,76,94,95,92,91
285,Sydney,18,90,75,96,87,70
286,London,22,90,73,99,74,96
287,Tokyo,24,84,79,73,73,96
288,New York,18,96,83,82,90,96
289,Paris,19,81,86,75,74,81
290,Tokyo,20,88,76,86,79,73
291,Toronto,25,78,73,90,82,91
292,Sydney,25,84,79,84,86,90
293,New York,23,72,99,82,88,82
294,New York,22,88,96,77,100,87
295,Paris,21,71,91,89,77,81
296,Los Angeles,18,70,99,84,90,92
297,Melbourne,21,72,80,79,84,96
298,Los Angeles,18,83,79,95,87,90
299,Melbourne,19,91,73,73,87,71
300,Toronto,19,77,76,86,86,73
301,Tokyo,21,77,87,94,78,91
302,London,22,80,92,91,86,97
303,Melbourne,19,79,81,86,82,83
304,Los Angeles,20,94,74,94,89,72
305,London,25,94,90,90,91,80
306,London,22,100,94,89,93,70
307,New York,21,81,76,86,83,91
308,London,20,80,79,82,76,70
309,Melbourne,19,95,99,81,75,98
310,Los Angeles,22,100,81,74,88,70
311,Los Angeles,21,75,83,98,71,88
312,Toronto,20,76,99,71,73,100
313,Los Angeles,19,79,73,72,90,91
314,Tokyo,25,81,83,94,85,77
315,London,23,100,77,100,81,70
316,Melbourne,21,73,81,74,73,95
317,New York,19,86,85,76,94,96
318,Sydney,19,87,91,86,87,95
319,Paris,19,89,76,76,77,91
320,London,21,91,72,71,96,94
321,Sydney,19,95,70,87,100,81
322,London,20,82,71,70,80,94
323,New York,23,89,90,88,89,77
324,Tokyo,19,97,94,90,94,82
325,Tokyo,19,76,87,82,98,87
326,Tokyo,19,82,85,87,100,75
327,Sydney,21,92,77,71,94,95
328,Tokyo,20,88,87,74,81,82
329,Sydney,18,98,95,82,77,76
330,Sydney,25,99,79,97,85,80
331,Paris,21,70,86,77,88,91
332,Toronto,20,95,85,82,95,94
333,Paris,19,81,97,86,78,95
334,Tokyo,20,81,82,97,79,99
335,Tokyo,23,89,76,73,77,79
336,Melbourne,23,86,89,84,72,92
337,Berlin,19,98,81,88,71,70
338,London,25,98,79,73,75,94
339,London,24,92,90,85,76,91
340,Sydney,23,90,77,83,97,75
341,Berlin,21,72,93,83,100,88
342,London,18,95,74,100,89,78
343,New York,19,99,72,88,92,90
344,New York,21,96,83,86,78,74
345,Los Angeles,23,81,84,78,74,86
346,Paris,22,72,95,76,99,87
347,Los Angeles,21,81,91,86,85,78
348,Melbourne,20,71,81,72,75,87
349,Toronto,24,90,76,85,80,90
350,New York,21,93,75,91,94,70
351,Melbourne,21,76,87,73,84,93
352,Paris,20,87,81,82,81,98
353,Los Angeles,24,93,91,82,96,81
354,London,20,76,87,100,84,95
355,Sydney,23,72,81,79,78,92
356,London,22,79,90,94,97,87
357,Los Angeles,20,81,81,74,80,99
358,Tokyo,25,84,81,92,93,95
359,Toronto,23,93,77,75,78,93
360,Melbourne,25,99,86,100,90,71
361,Tokyo,18,79,84,89,96,85
362,Los Angeles,22,100,79,91,88,100
363,New York,22,83,88,79,73,88
364,Melbourne,23,80,88,86,92,70
365,London,18,99,76,86,92,77
366,Sydney,19,91,92,90,94,96
367,New York,22,74,73,79,99,89
368,Los Angeles,18,94,99,70,96,79
369,Berlin,19,75,85,94,100,82
370,Toronto,25,77,71,71,87,88
371,Tokyo,23,97,91,94,75,77
372,Toronto,25,79,100,90,71,82
373,Sydney,19,81,83,100,74,72
374,Los Angeles,23,75,91,93,86,80
375,Toronto,22,78,72,70,86,77
376,Sydney,23,100,93,76,85,94
377,Los Angeles,23,88,89,98,96,75
378,Melbourne,20,78,93,88,70,70
379,Berlin,20,74,84,87,84,93
380,New York,24,92,70,96,81,97
381,Toronto,20,87,77,94,86,92
382,Paris,19,81,84,81,80,90
383,Tokyo,25,99,83,79,83,95
384,London,18,90,90,76,93,74
385,Tokyo,25,87,70,92,91,71
386,New York,19,94,91,99,85,99
387,Tokyo,19,93,96,77,100,98
388,Toronto,21,87,75,79,76,99
389,Los Angeles,19,78,82,79,80,76
390,Los Angeles,25,91,84,83,89,88
391,Sydney,18,85,76,71,86,99
392,Tokyo,20,87,96,89,94,95
393,Melbourne,18,78,90,97,99,99
394,Los Angeles,22,92,83,86,96,87
395,New York,25,70,100,79,78,74
396,Sydney,21,99,86,95,79,79
397,Berlin,21,82,94,81,99,95
398,Melbourne,20,97,83,98,74,80
399,Paris,24,95,74,84,98,83
400,Paris,21,82,97,91,82,88
401,Toronto,21,80,89,77,98,71
402,Los Angeles,20,74,99,72,92,91
403,Paris,23,72,99,97,71,94
404,Paris,20,98,83,90,70,84
405,New York,23,72,73,81,84,87
406,New York,25,89,80,92,71,90
407,Toronto,25,78,89,79,100,81
408,Los Angeles,23,74,93,96,71,71
409,Sydney,21,86,86,97,80,84
410,Tokyo,25,93,99,81,76,73
411,Berlin,21,80,70,91,96,77
412,Berlin,19,88,73,94,72,90
413,Paris,18,84,81,86,82,95
414,New York,21,78,92,95,88,84
415,Berlin,23,81,81,85,76,81
416,Paris,22,92,91,94,71,96
417,Los Angeles,25,75,86,98,97,74
418,Sydney,21,84,100,97,99,73
419,New York,20,90,98,83,86,72
420,Berlin,24,80,93,73,80,92
421,Toronto,18,91,90,90,83,87
422,Los Angeles,21,87,100,88,84,81
423,Paris,23,74,72,88,73,71
424,Tokyo,20,92,87,92,81,84
425,Sydney,22,74,98,96,70,71
426,Tokyo,20,80,75,83,100,98
427,Sydney,21,89,79,73,74,84
428,Berlin,21,78,95,79,96,73
429,Los Angeles,19,70,84,83,95,83
430,Paris,20,73,76,82,79,95
431,Toronto,18,78,96,99,79,71
432,Sydney,18,93,99,73,82,89
433,Sydney,20,74,89,96,89,98
434,Tokyo,22,79,79,85,82,80
435,Los Angeles,19,70,78,70,71,70
436,Berlin,25,84,74,97,91,76
437,Melbourne,19,87,74,74,81,79
438,London,23,77,78,86,97,83
439,Berlin,21,92,99,96,92,88
440,Melbourne,19,88,81,95,76,92
441,New York,19,81,76,83,78,70
442,Berlin,18,89,79,70,93,76
443,Berlin,22,93,83,72,94,92
444,Sydney,23,93,73,71,82,72
445,Tokyo,22,71,95,81,97,72
446,London,20,86,81,85,78,86
447,Berlin,22,71,71,71,73,100
448,Melbourne,23,85,93,91,73,78
449,Melbourne,19,75,84,91,91,76
450,New York,23,78,76,82,93,90
451,Paris,19,96,81,88,98,87
452,London,19,89,96,91,91,87
453,Paris,19,89,83,94,82,96
454,Berlin,21,73,85,89,88,80
455,Toronto,19,83,79,97,72,99
456,Toronto,23,71,80,82,75,96
457,New York,22,96,91,74,87,93
458,Toronto,20,83,92,92,84,97
459,Toronto,18,93,80,94,74,76
460,Tokyo,22,87,97,95,91,73
461,Paris,21,98,86,74,96,84
462,Melbourne,19,87,86,96,74,84
463,Sydney,22,73,79,74,80,97
464,New York,25,96,76,97,75,84
465,Paris,22,94,100,83,82,83
466,Toronto,22,97,86,94,83,99
467,Los Angeles,20,75,93,75,85,99
468,Sydney,22,92,79,71,81,88
469,Sydney,20,86,99,82,92,88
470,Toronto,25,82,70,83,72,97
471,Tokyo,22,94,71,84,87,70
472,Melbourne,20,83,88,85,85,73
473,Los Angeles,23,76,89,98,80,94
474,Paris,20,78,87,79,94,70
475,London,22,77,75,88,98,89
476,Melbourne,20,95,82,96,93,70
477,New York,23,91,90,75,88,85
478,Tokyo,21,98,89,94,75,97
479,London,23,81,91,93,81,75
480,London,19,94,89,79,88,85
481,Sydney,24,70,79,80,83,78
482,Toronto,20,81,91,92,98,77
483,New York,20,81,95,90,83,71
484,Toronto,18,87,78,71,73,98
485,Paris,21,89,98,96,83,79
486,Los Angeles,20,70,89,89,78,83
487,Los Angeles,25,74,79,81,87,72
488,Berlin,21,88,94,94,77,81
489,Los Angeles,24,70,89,81,91,70
490,Tokyo,18,87,100,95,89,85
491,Melbourne,25,75,77,82,99,83
492,London,23,85,73,78,81,96
493,Los Angeles,24,94,74,80,92,95
494,Melbourne,25,84,96,72,93,86
495,New York,24,83,78,82,84,84
496,New York,23,71,92,98,78,88
497,Los Angeles,20,90,100,90,78,73
498,Paris,22,78,80,78,71,70
499,Los Angeles,21,96,93,78,78,82
500,London,22,85,87,93,70,86
